,activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
280,tanh,50,5,0.01,8,adam,0.8075048724810282,0.0076744700922366585
281,tanh,50,5,0.01,8,sgd,0.48879142105579376,0.1973930856900355
282,tanh,50,5,0.01,32,rmsprop,0.8196881214777628,0.010429292479060473
283,tanh,50,5,0.01,32,adam,0.8114035129547119,0.012633020598748265
284,tanh,50,5,0.01,32,sgd,0.6076998114585876,0.09858278558254971
285,tanh,50,5,0.01,64,rmsprop,0.8133528431256613,0.00812540186956574
286,tanh,50,5,0.01,64,adam,0.8167641361554464,0.007581066033250539
287,tanh,50,5,0.01,64,sgd,0.6564327478408813,0.05953003363241919
288,tanh,50,5,0.1,8,rmsprop,0.7997076114018759,0.006646283875270943
289,tanh,50,5,0.1,8,adam,0.8157894810040792,0.008355951619592634
290,tanh,50,5,0.1,8,sgd,0.780701756477356,0.0020675558005504176
291,tanh,50,5,0.1,32,rmsprop,0.8114035129547119,0.01376651345290622
292,tanh,50,5,0.1,32,adam,0.8021442492802938,0.016468555063445463
293,tanh,50,5,0.1,32,sgd,0.7870370348294576,0.004969812911192264
294,tanh,50,5,0.1,64,rmsprop,0.7582845886548361,0.040380767373666235
295,tanh,50,5,0.1,64,adam,0.811403493086497,0.00520326257237974
296,tanh,50,5,0.1,64,sgd,0.7875243822733561,0.00612563951203435
297,tanh,50,5,0.2,8,rmsprop,0.7514620025952657,0.056205813189485414
298,tanh,50,5,0.2,8,adam,0.8114035129547119,0.009012315140483243
299,tanh,50,5,0.2,8,sgd,0.8050682346026102,0.0018234393733773278
300,tanh,50,5,0.2,32,rmsprop,0.5657894810040792,0.10751330904815733
301,tanh,50,5,0.2,32,adam,0.8094541827837626,0.00612563951203435
302,tanh,50,5,0.2,32,sgd,0.8016569217046102,0.004519307158837015
303,tanh,50,5,0.2,64,rmsprop,0.6890838146209717,0.032347832550829445
304,tanh,50,5,0.2,64,adam,0.803118904431661,0.025219007582125936
305,tanh,50,5,0.2,64,sgd,0.8045809070269266,0.006574436412745357
306,tanh,50,5,0.3,8,rmsprop,0.6885964870452881,0.08975069130159022
307,tanh,50,5,0.3,8,adam,0.8016569217046102,0.004192175723610567
308,tanh,50,5,0.3,8,sgd,0.7977582812309265,0.012016404072059679
